CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
33.130.691/0001-05;2024-12-31;1;WILSON SONS S.A.;440977900;0;440977900;0;0;0
33.200.049/0001-47;2024-12-31;1;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;10478;7894;18372;0;0;0
33.228.024/0001-51;2024-12-31;1;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;16571220;19843450;36414670;0;0;0
33.256.439/0001-39;2024-12-31;1;ULTRAPAR PARTICIPACOES S.A.;1115439503;0;1115439503;19283471;0;19283471
33.352.394/0001-04;2024-12-31;1;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;629071608;0;629071608;0;0;0
33.376.989/0001-91;2024-12-31;2;IRB - BRASIL RESSEGUROS S.A.;82263011;1;82263012;420125;0;420125
33.386.210/0001-19;2024-12-31;1;SONDOTECNICA ENGENHARIA SOLOS S.A.;856;1602;2458;0;27;27
33.412.081/0001-96;2024-12-31;1;REFINARIA DE PETROLEOS MANGUINHOS S.A.;67692;0;67692;7;0;7
33.453.598/0001-23;2024-03-31;1;RAÍZEN S.A.;8993572584;1358936900;10352509484;0;26394646;26394646
33.467.572/0001-34;2024-12-31;2;TEKNO S.A. - INDUSTRIA E COMERCIO;1587;1361;2948;0;0;0
33.541.368/0001-16;2024-12-31;1;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;54151;1754;55905;0;219;219
33.572.408/0001-97;2024-12-31;1;RUMO MALHA CENTRAL S.A.;4470908744;0;4470908744;0;0;0
33.592.510/0001-54;2024-12-31;3;VALE S.A.;4539008;0;4539008;270288;0;270288
33.611.500/0001-19;2024-12-31;2;GERDAU S.A.;719956830;1358848730;2078805560;1093011;36419068;37512079
33.839.910/0001-11;2024-12-31;1;VIVARA PARTICIPAÇÕES S.A.;236197769;0;236197769;1134590;0;1134590
