CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
61.532.644/0001-15;2024-12-31;2;ITAÚSA S.A.;3726767;7117790;10844557;0;2890;2890
61.584.140/0001-49;2024-12-31;1;REDE ENERGIA PARTICIPAÇÕES S.A.;2110323374;0;2110323374;0;0;0
61.585.865/0001-51;2024-12-31;2;RAIA DROGASIL S.A.;1718007200;0;1718007200;6012572;0;6012572
61.695.227/0001-93;2024-12-31;1;ELETROPAULO METROP. ELET. SAO PAULO S.A.;299075;0;299075;0;0;0
61.856.571/0001-17;2024-12-31;1;CIA GAS DE SAO PAULO - COMGAS;103862768;28657819;132520587;0;0;0
62.002.886/0001-60;2024-12-31;1;SAO PAULO TURISMO S.A.;8407;135;8542;0;1;1
62.070.362/0001-06;2024-12-31;1;COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ;10109;0;10109;0;0;0
62.144.175/0001-20;2024-12-31;2;BCO PINE S.A;115953618;113794003;229747621;0;4675742;4675742
62.232.889/0001-90;2024-12-31;2;BCO DAYCOVAL S.A.;1323471042;567201876;1890672918;0;0;0
62.258.884/0001-36;2024-12-31;1;INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;411597545;0;411597545;0;0;0
62.307.848/0001-15;2024-12-31;2;BANCO RCI BRASIL S.A.;202512;201941;404453;0;0;0
62.984.091/0001-02;2024-12-31;1;CRUZEIRO DO SUL EDUCACIONAL S.A.;364542552;0;364542552;0;0;0
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;350000000;0;350000000;8928768;0;8928768
65.654.303/0001-73;2024-12-31;1;DIBENS LEASING S.A. - ARREND.MERCANTIL;2215856;0;2215856;0;0;0
67.010.660/0001-24;2024-12-31;1;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;43770;0;43770;1576;0;1576
67.571.414/0001-41;2024-12-31;1;VIVER INCORPORADORA E CONSTRUTORA S.A.;38366;0;38366;0;0;0
67.620.377/0001-14;2024-12-31;1;MINERVA S.A.;607283407;0;607283407;18957451;0;18957451
71.208.516/0001-74;2024-12-31;1;ALGAR TELECOM S/A;295020;573;295593;0;0;0
71.476.527/0001-35;2024-12-31;1;CONSTRUTORA TENDA S.A.;123094;0;123094;0;0;0
71.673.990/0001-77;2024-12-31;1;NATURA COSMÉTICOS S.A.;920205;0;920205;0;0;0
73.178.600/0001-18;2024-12-31;1;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;384000;0;384000;17468;0;17468
73.903.718/0001-61;2024-12-31;1;SNB PARTICIPACOES SA;2902487;0;2902487;0;0;0
75.315.333/0001-09;2024-12-31;1;ATACADÃO S.A.;2109056711;0;2109056711;0;0;0
75.609.123/0001-23;2024-12-31;2;UNIDAS LOCAÇÕES E SERVIÇOS S.A.;1458675998;0;1458675998;0;0;0
76.483.817/0001-20;2024-12-31;1;CIA PARANAENSE DE ENERGIA - COPEL;1300347300;1682463291;2982810591;2623800;3074600;5698400
76.484.013/0001-45;2024-12-31;1;CIA SANEAMENTO DO PARANA - SANEPAR;503735259;1007470260;1511205519;0;0;0
76.535.764/0001-43;2024-12-31;1;OI S.A. - EM RECUPERAÇÃO JUDICIAL;328544;1577;330121;6440;18;6458
76.627.504/0001-06;2024-12-31;1;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;31979;12627;44606;0;0;0
79.430.682/0001-22;2024-12-31;1;FARMÁCIA E DROGARIA NISSEI S.A.;200000000;0;200000000;0;0;0
80.680.093/0001-81;2024-12-31;1;SENIOR SISTEMAS S.A.;1269683;0;1269683;22457;0;22457
81.243.735/0001-48;2024-12-31;1;POSITIVO TECNOLOGIA S.A.;141800;0;141800;2259;0;2259
81.616.807/0001-55;2024-12-31;1;GRANJA FARIA S.A.;14945789847;0;14945789847;0;0;0
82.120.676/0001-83;2024-12-31;1;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;130000000;0;130000000;0;0;0
82.508.433/0001-17;2024-12-31;1;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;572078479;578578081;1150656560;0;0;0
82.636.986/0001-55;2024-12-31;1;TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;168;335;503;0;0;0
82.640.558/0001-04;2024-12-31;1;KARSTEN S.A.;2878;3327;6205;0;0;0
82.643.537/0001-34;2024-12-31;1;ELECTRO ACO ALTONA S.A.;9750;12750;22500;0;0;0
82.901.000/0001-27;2024-12-31;1;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;327611110;0;327611110;46730;0;46730
82.981.929/0001-03;2024-12-31;1;CIA INDUSTRIAL SCHLOSSER S.A.;480;480;960;460;460;920
82.982.075/0001-80;2024-12-31;1;TEXTIL RENAUXVIEW S.A.;1456;2803;4259;0;0;0
83.475.913/0001-91;2024-12-31;1;PBG S/A;140987;0;140987;0;0;0
83.878.892/0001-55;2024-12-31;1;CENTRAIS ELET DE SANTA CATARINA S.A.;15527;23044;38571;0;0;0
84.429.695/0001-11;2024-12-31;1;WEG S.A.;4197317998;0;4197317998;1780620;0;1780620
84.683.374/0001-49;2024-12-31;1;TUPY S.A.;144178;0;144178;7711;0;7711
84.683.408/0001-03;2024-12-31;1;DOHLER S.A.;54467820;21177465;75645285;0;233697;233697
84.683.671/0001-94;2024-12-31;1;WETZEL S.A.;686;1372;2058;0;0;0
84.684.455/0001-63;2024-12-31;1;TIGRE S.A. PARTICIPAÇÕES;15150731;47906;15198637;0;39633;39633
84.693.183/0001-68;2024-12-31;2;SCHULZ S.A.;152692764;204682016;357374780;3141;223120;226261
85.041.333/0001-11;2024-12-31;1;PORTO PONTA DO FELIX S/A;85937;145450;231387;0;0;0
85.778.074/0001-06;2024-12-31;1;METALURGICA RIOSULENSE S.A.;3576903;2495225;6072128;0;0;0
86.375.425/0001-09;2024-12-31;1;METISA METALURGICA TIMBOENSE S.A.;4212530;4577200;8789730;0;87600;87600
87.043.832/0001-73;2024-12-31;2;SEIVA S.A. - FLORESTAS E INDÚSTRIAS;8573186;10491038;19064224;0;0;0
87.456.562/0001-22;2024-12-31;1;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;10451;131;10582;0;0;0
87.762.563/0001-03;2024-12-31;2;CIA HABITASUL DE PARTICIPACOES;3152764;5980923;9133687;0;0;0
87.870.952/0001-44;2024-12-31;1;BORRACHAS VIPAL S.A.;234207;0;234207;0;0;0
88.610.126/0001-29;2024-12-31;1;FRAS-LE S.A.;267016;0;267016;3000;0;3000
88.610.191/0001-54;2024-12-31;1;MUNDIAL S.A. - PRODUTOS DE CONSUMO;9921040;0;9921040;3064;0;3064
88.611.835/0001-29;2024-12-31;1;MARCOPOLO S.A.;409950893;726320565;1136271458;0;10208000;10208000
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;16016924;32029564;48046488;0;0;0
89.086.144/0001-16;2024-12-31;1;RANDONCORP S.A.;116516;212815;329331;0;1037;1037
89.096.457/0001-55;2024-12-31;3;SLC AGRICOLA S.A.;443329716;0;443329716;2612586;0;2612586
89.463.822/0001-12;2024-12-31;1;LUPATECH S.A;42130719;0;42130719;0;0;0
89.637.490/0001-45;2024-12-31;1;KLABIN S.A.;2289901455;3889780576;6179682031;20080051;80320413;100400464
89.723.993/0001-33;2024-12-31;1;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;7490;5110;12600;0;0;0
89.850.341/0001-60;2024-12-31;1;GRENDENE S.A.;902160;0;902160;0;0;0
90.076.886/0001-40;2024-12-31;1;MINUPAR PARTICIPACOES S.A.;7100;0;7100;0;0;0
90.400.888/0001-42;2024-12-31;2;BCO SANTANDER (BRASIL) S.A.;3818695;3679836;7498531;19452;19452;38904
90.441.460/0001-48;2024-12-31;1;UNICASA INDÚSTRIA DE MÓVEIS S.A.;66086364;0;66086364;0;0;0
91.333.666/0001-17;2024-12-31;1;RECRUSUL S.A.;10663;21158;31821;0;0;0
91.669.747/0001-92;2024-12-31;1;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;61791;0;61791;3;0;3
91.983.056/0001-69;2024-12-31;1;KEPLER WEBER S.A.;179720;0;179720;6353;0;6353
92.012.467/0001-70;2024-12-31;1;GRAZZIOTIN S.A.;8651752;12207058;20858810;20700;51400;72100
92.660.570/0001-26;2024-12-31;1;TREVISA INVESTIMENTOS S.A.;9192;11592;20784;0;0;0
92.665.611/0001-77;2024-12-31;1;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;150377841;0;150377841;1584230;0;1584230
92.690.783/0001-09;2024-12-31;2;METALURGICA GERDAU S.A.;365111201;649238303;1014349504;0;9936900;9936900
92.693.019/0001-89;2024-12-31;2;PANATLANTICA S.A.;22907;1025;23932;0;0;0
92.702.067/0001-96;2024-12-31;1;BCO ESTADO DO RIO GRANDE DO SUL S.A.;205065;203909;408974;0;0;0
92.715.812/0001-31;2024-12-31;1;CPFL TRANSMISSÃO S.A.;15241703;180641;15422344;0;0;0
92.721.232/0001-57;2024-12-31;1;BANRISUL ARMAZENS GERAIS SA;700000;0;700000;0;0;0
92.749.225/0001-63;2024-12-31;1;HERCULES S.A. FABRICA DE TALHERES;171198;338801;509999;0;0;0
92.754.738/0001-62;2024-12-31;1;LOJAS RENNER S.A.;1059550;0;1059550;7818;0;7818
92.781.335/0001-02;2024-12-31;1;TAURUS ARMAS S.A.;46445314;80189120;126634434;0;323100;323100
92.791.243/0001-03;2024-12-31;1;IRANI PAPEL E EMBALAGEM S.A.;239830;0;239830;6301;0;6301
92.802.784/0001-90;2024-12-31;1;CIA RIOGRANDENSE DE SANEAMENTO;4786604;82393289;87179893;0;0;0
93.828.986/0001-73;2024-12-31;1;CEMEPE INVESTIMENTOS S.A.;454455;464440;918895;0;0;0
94.813.102/0001-70;2024-12-31;2;TRÊS TENTOS AGROINDUSTRIAL S/A;498297647;0;498297647;110000;0;110000
95.426.862/0001-97;2024-12-31;1;EXCELSIOR ALIMENTOS S.A.;2846929;2375293;5222222;0;0;0
96.298.013/0001-68;2024-12-31;2;PACAEMBU CONSTRUTORA S.A.;129880845;0;129880845;0;0;0
96.418.264/0218-02;2024-12-31;1;LOJAS QUERO QUERO S.A.;195073;0;195073;0;0;0
97.191.902/0001-94;2024-12-31;1;CONSERVAS ODERICH S.A.;9858;1428;11286;0;0;0
97.837.181/0001-47;2024-12-31;1;DEXCO S.A.;820566;0;820566;12202;0;12202
