ticker,ano,lucro_liquido
00.873.894/0001-24,2023,63754.0
00.873.894/0001-24,2024,25653.0
00.924.429/0001-75,2010,-11665.0
00.924.429/0001-75,2011,-175196.0
00.924.429/0001-75,2012,-163150.0
00.924.429/0001-75,2013,156449.0
00.924.429/0001-75,2014,37974.0
00.994.533/0001-36,2010,-84860.0
00.994.533/0001-36,2011,-7119.0
00.994.533/0001-36,2012,-72047.0
00.994.533/0001-36,2013,-81800.0
00.994.533/0001-36,2014,-57175.0
00.994.533/0001-36,2015,-169223.0
01.027.058/0001-91,2010,1830914.0
01.027.058/0001-91,2011,1816915.0
01.027.058/0001-91,2012,2320618.0
01.027.058/0001-91,2013,2680676.0
01.027.058/0001-91,2014,3228933.0
01.027.058/0001-91,2015,3651433.0
01.027.058/0001-91,2016,4183496.0
01.027.058/0001-91,2017,4264629.0
01.027.058/0001-91,2018,3559435.0
01.027.058/0001-91,2019,1789559.0
01.027.058/0001-91,2020,-347338.0
01.027.058/0001-91,2021,-317039.0
01.027.058/0001-91,2022,1714680.0
01.027.058/0001-91,2023,2468466.0
01.027.058/0001-91,2024,1769987.0
01.083.200/0001-18,2010,2064592.0
01.083.200/0001-18,2011,1845097.0
01.083.200/0001-18,2012,1552750.0
01.083.200/0001-18,2013,1070811.0
01.083.200/0001-18,2014,776886.0
01.083.200/0001-18,2015,371983.0
01.083.200/0001-18,2016,354303.0
01.083.200/0001-18,2017,451529.0
01.083.200/0001-18,2018,1593951.0
01.083.200/0001-18,2019,2309322.0
01.083.200/0001-18,2020,2905000.0
01.083.200/0001-18,2021,4066000.0
01.083.200/0001-18,2022,4787000.0
01.083.200/0001-18,2023,4527000.0
01.083.200/0001-18,2024,3682000.0
01.107.327/0001-20,2017,3105.0
01.107.327/0001-20,2018,5817.0
01.107.327/0001-20,2019,13746.0
01.107.327/0001-20,2020,8899.0
01.107.327/0001-20,2021,12023.0
01.107.327/0001-20,2022,-71099.0
01.107.327/0001-20,2023,-53827.0
01.107.327/0001-20,2024,-342274.0
01.109.184/0001-95,2010,97305.0
01.287.588/0001-79,2017,237179.0
01.386.256/0001-41,2010,671037.0
01.417.222/0001-77,2024,1415510.0
01.468.594/0001-22,2020,14029.0
01.468.594/0001-22,2021,15426.0
01.545.826/0001-07,2010,439980.0
01.545.826/0001-07,2011,-905189.0
01.545.826/0001-07,2012,-76363.0
01.545.826/0001-07,2013,867678.0
01.545.826/0001-07,2014,-43725.0
01.545.826/0001-07,2015,70979.0
01.545.826/0001-07,2016,-1161725.0
01.545.826/0001-07,2017,-850137.0
01.545.826/0001-07,2018,-421276.0
01.545.826/0001-07,2019,-14103.0
01.545.826/0001-07,2020,-77000.0
01.545.826/0001-07,2021,81050.0
01.545.826/0001-07,2022,-83192.0
01.545.826/0001-07,2023,-195470.0
01.545.826/0001-07,2024,-40723.0
01.547.749/0001-16,2010,379739.0
01.547.749/0001-16,2011,75829.0
01.599.101/0001-93,2019,-7146.0
01.599.101/0001-93,2020,7028.0
01.599.101/0001-93,2021,-17861.0
01.599.101/0001-93,2022,-106872.0
01.599.101/0001-93,2023,-822222.0
01.599.101/0001-93,2024,-1278391.0
01.608.571/0001-76,2010,-351.0
01.608.571/0001-76,2011,-371.0
01.608.571/0001-76,2012,118.0
01.608.571/0001-76,2015,-8472.0
01.608.571/0001-76,2016,-2940.0
01.637.895/0001-32,2022,1145454.0
